ID,Age,Gender,Date.P1,Date.P2,Condition,IC.1,IC.2,Comp.1,Comp.2,PR.1,PR.2,MCS.1,Scorer.1,MCS.2,Scorer.2,MCS.avg,R1CS.1,Scorer.1,R1CS.2,Scorer.2,R1CS.avg,R2CS.1,Scorer.1,R2CS.2,Scorer.2,R2CS.avg,TS.1,Scorer.1,TS.2,Scorer.2,TS.avg,Exc.1,Exc.2,Collection
KB1,18,Female,11/21/16,11/28/16,Concept,1,1,1,1,1,0.8,0.75,NK,0.67,TT,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NK,0.42,MS,0.39,0,0,1
KB2,18,Male,11/21/16,11/28/16,Concept,1,1,1,1,0,0.7,0.4,NK,0.367,TT,0.3835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,MS,0.36,NK,0.42,0,0,1
KB3,18,Male,11/21/16,11/28/16,Concept,1,1,1,1,0,0.7,0.433,NK,0.55,MS,0.4915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NK,0.08,MS,0.08,0,0,1
KB4,19,Female,11/21/16,11/28/16,Concept,1,1,1,1,0,0.7,0.317,NK,0.333,MS,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,MS,0.42,NK,0.43,0,0,1
KB5,19,Female,11/22/16,11/29/16,Concept,1,1,1,1,0,0.95,0.683,NK,0.717,MS,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NK,0.28,MS,0.27,0,0,1
KB6,19,Male,11/22/16,11/29/16,Concept,1,1,1,1,1,0.6,0.817,NK,0.783,MS,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NK,0.46,MS,0.43,0,0,1
KB7,18,Male,11/22/16,12/6/16,Concept,1,1,1,1,1,0.6,0.733,NK,0.767,MS,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,MS,0.36,CB,0.37,0,0,1
KB8,20,Male,11/22/16,11/29/16,Concept,1,1,1,1,1,0.5,0.35,NK,0.333,MS,0.3415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NK,0.46,MS,0.45,0,0,1
KB9,20,Male,11/22/16,11/28/16,Concept,1,1,1,1,0,0.6,0.65,NK,0.65,MS,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,MS,0.58,NK,0.61,0,0,1
KB10,20,Female,11/29/16,12/6/16,Concept,1,1,1,1,1,0.9,0.817,NK,0.783,MS,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NK,0.7,MS,0.68,0,0,1
KB11,21,Female,11/21/16,11/28/16,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.6,NK,0.6,TT,0.6,0.76,NK,0.783,TT,0.772,0.38,MS,0.3,NK,0.34,0,0,1
KB12,18,Female,11/21/16,11/29/16,Retrieval,1,1,1,1,NA,0.6,NA,NA,NA,NA,NA,0.81,NK,0.85,TT,0.83,0.93,NK,0.933,TT,0.932,0.76,NK,0.82,MS,0.79,0,0,1
KB13,20,Female,11/21/16,11/28/16,Retrieval,1,1,1,1,NA,0.9,NA,NA,NA,NA,NA,0.63,NK,0.617,TT,0.624,0.76,NK,0.8,TT,0.78,0.8,MS,0.8,NK,0.8,0,0,1
KB14,19,Female,11/21/16,11/28/16,Retrieval,1,1,1,1,NA,0.7,NA,NA,NA,NA,NA,0.56,NK,0.567,TT,0.564,0.18,NK,0.167,TT,0.174,0.48,MS,0.4,NK,0.44,0,0,1
KB15,18,Female,11/22/16,11/29/16,Retrieval,1,1,1,1,NA,0.3,NA,NA,NA,NA,NA,0.4,TT,0.35,LH,0.375,0.483,TT,0.55,LH,0.517,0.34,MS,0.34,CB,0.34,0,0,1
KB16,19,Male,11/22/16,11/29/16,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.5,TT,0.55,LH,0.525,0.8,TT,0.83,LH,0.82,0.6,NK,0.6,MS,0.6,0,0,1
KB18,20,Male,11/22/16,11/29/16,Retrieval,1,1,1,1,NA,0.7,NA,NA,NA,NA,NA,0.7,TT,0.67,LH,0.685,0.8,TT,0.883,LH,0.842,0.6,MS,0.64,CB,0.62,0,0,1
KB19,21,Female,11/29/16,12/6/16,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.57,LH,0.65,TT,0.61,0.73,LH,0.817,TT,0.774,0.72,NK,0.74,MS,0.73,0,0,1
KB20,17,Male,11/29/16,12/6/16,Retrieval,1,1,1,1,NA,0.6,NA,NA,NA,NA,NA,0.583,LH,0.633,TT,0.61,0.733,LH,0.767,TT,0.75,0.62,NK,0.62,CB,0.62,0,0,1
KB21,20,Male,11/29/16,12/6/16,Concept,1,1,1,1,0,0.8,0.55,NK,0.583,CB,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,MS,0.6,CB,0.58,0,0,1
KB22,18,Male,11/29/16,12/6/16,Concept,1,1,1,1,0,0.6,0.417,NK,0.433,CB,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NK,0.2,MS,0.19,0,0,1
KB23,21,Male,11/29/16,12/6/16,Concept,1,1,1,1,0,0.9,0.56,MS,0.45,CB,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,MS,0.68,CB,0.68,0,0,1
KB24,18,Male,11/29/16,12/6/16,Concept,1,1,1,1,1,0.9,0.917,MS,0.8,NK,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NK,0.52,MS,0.53,0,0,1
KB25,19,Male,11/29/16,12/6/16,Concept,1,1,1,1,1,0.6,0.683,MS,0.667,NK,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NK,0.62,MS,0.59,0,0,1
KB26,18,Female,11/29/16,12/6/16,Concept,1,1,1,1,1,0.7,0.667,TT,0.65,NK,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,MS,0.3,CB,0.3,0,0,1
KB27,18,Male,11/29/16,12/6/16,Concept,1,1,1,1,1,0.7,0.5,NK,0.5,MS,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,MS,0.52,CB,0.52,0,0,1
KB28,18,Male,11/29/16,12/2/16,Concept,1,1,1,1,1,0.5,0.55,NK,0.617,MS,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NK,0.44,MS,0.43,0,0,1
KB29,19,Male,1/23/17,1/31/17,Concept,1,1,1,1,1,0.9,0.867,TT,0.85,NK,0.8585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,LH,0.6,TT,0.6,0,0,1
KB30,18,Female,1/23/17,1/31/17,Concept,1,1,1,1,1,0.4,0.76,NK,0.783,TT,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,LH,0.8,NK,0.8,0,0,1
KB31,19,Female,1/23/17,2/1/17,Concept,1,1,1,1,1,0.6,0.733,TT,0.75,NK,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,LH,0.22,NK,0.22,0,0,1
KB32,18,Male,1/23/17,1/31/17,Concept,1,1,1,1,0,0.7,0.62,NK,0.633,TT,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,LH,0.46,NK,0.5,0,0,1
KB33,21,Male,1/24/17,1/31/17,Concept,1,1,1,1,1,0.7,0.767,TT,0.8,NK,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,LH,0.64,TT,0.64,0,0,1
KB34,22,Female,1/24/17,1/31/17,Retrieval,1,1,1,1,NA,0.8,NA,NA,NA,NA,NA,0.367,TT,0.383,LH,0.375,0.567,TT,0.6,LH,0.584,0.42,LH,0.32,TT,0.37,0,0,1
KB35,19,Male,1/24/17,2/2/17,Retrieval,1,1,1,1,NA,0.9,NA,NA,NA,NA,NA,0.767,TT,0.8,LH,0.784,0.867,TT,0.9,LH,0.884,1,LH,1,NK,1,0,0,1
KB37,20,Male,1/24/17,1/31/17,Retrieval,1,1,1,1,NA,0.8,NA,NA,NA,NA,NA,0.4,TT,0.5,LH,0.45,0.75,TT,0.8,LH,0.775,0.44,LH,0.44,TT,0.44,0,0,1
KB38,19,Female,1/24/17,1/31/17,Concept,1,1,1,1,1,0.7,0.717,NK,0.733,TT,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,LH,0.18,TT,0.2,0,0,1
KB39,19,Female,1/25/17,2/1/17,Concept,1,1,1,1,0,0.7,0.417,NK,0.417,TT,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,LH,0.5,NK,0.49,0,0,1
KB40,20,Female,1/25/17,2/2/17,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.367,TT,0.4,LH,0.384,0.65,TT,0.717,LH,0.683,0.66,LH,0.6,NK,0.63,0,0,1
KB41,19,Female,1/25/17,2/1/17,Retrieval,1,1,1,1,NA,0.6,NA,NA,NA,NA,NA,0.633,TT,0.733,LH,0.683,0.767,TT,0.833,LH,0.8,0.66,LH,0.7,NK,0.68,0,0,1
KB42,19,Female,1/25/17,2/1/17,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.717,TT,0.683,LH,0.7,0.7,TT,0.7,LH,0.7,0.88,LH,0.8,NK,0.84,0,0,1
KB43,18,Female,1/25/17,2/1/17,Retrieval,1,1,1,1,NA,0.4,NA,NA,NA,NA,NA,0.45,TT,0.467,LH,0.458,0.717,TT,0.717,LH,0.717,0.58,LH,0.54,NK,0.56,0,0,1
KB44,20,Male,1/25/17,2/1/17,Concept,1,1,1,1,0,0.5,0.75,TT,0.85,NK,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,LH,0.76,NK,0.79,0,0,1
KB45,19,Female,1/26/17,2/2/17,Retrieval,1,1,1,1,NA,0.5,NA,NA,NA,NA,NA,0.66,NK,0.817,LH,0.738,0.8,NK,0.85,LH,0.825,0.68,LH,0.68,TT,0.68,0,0,1
