WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
23907,20190101,100,20181231,1900,2.623,-98.08,30.62,12.6,12.7,13.1,12.3,0.0,0,0,0,0,0,0,C,9.0,0,9.8,0,8.2,0,48,0,0.508,0.5,-99.0,-99.0,-99.0,10.0,10.1,-9999.0,-9999.0,-9999.0
23907,20190101,200,20181231,2000,2.623,-98.08,30.62,11.1,11.6,12.7,9.6,0.0,0,0,0,0,0,0,C,7.5,0,8.2,0,6.8,0,53,0,0.507,0.496,-99.0,-99.0,-99.0,9.8,9.9,-9999.0,-9999.0,-9999.0
23907,20190101,300,20181231,2100,2.623,-98.08,30.62,11.8,12.0,12.4,11.2,0.0,0,0,0,0,0,0,C,6.6,0,6.8,0,6.4,0,50,0,0.506,0.493,-99.0,-99.0,-99.0,9.6,9.7,-9999.0,-9999.0,-9999.0
23907,20190101,400,20181231,2200,2.623,-98.08,30.62,12.0,11.9,12.4,10.8,0.0,0,0,0,0,0,0,C,6.1,0,6.4,0,5.9,0,49,0,0.503,0.49,-99.0,-99.0,-99.0,9.3,9.6,-9999.0,-9999.0,-9999.0
23907,20190101,500,20181231,2300,2.623,-98.08,30.62,11.4,11.4,12.1,11.1,0.0,0,0,0,0,0,0,C,5.8,0,6.0,0,5.5,0,51,0,0.501,0.489,-99.0,-99.0,-99.0,9.1,9.4,-9999.0,-9999.0,-9999.0
23907,20190101,600,20190101,0,2.623,-98.08,30.62,9.0,9.5,11.4,8.9,0.0,0,0,0,0,0,0,C,5.1,0,5.5,0,4.7,0,61,0,0.499,0.48700000000000004,-99.0,-99.0,-99.0,8.9,9.3,-9999.0,-9999.0,-9999.0
23907,20190101,700,20190101,100,2.623,-98.08,30.62,8.9,8.7,9.8,7.4,0.0,0,0,0,0,0,0,C,4.5,0,4.7,0,4.2,0,70,0,0.498,0.483,-99.0,-99.0,-99.0,8.8,9.1,-9999.0,-9999.0,-9999.0
23907,20190101,800,20190101,200,2.623,-98.08,30.62,5.4,6.5,9.0,5.4,0.0,0,0,0,0,0,0,C,4.4,0,4.8,0,4.1,0,73,0,0.49700000000000005,0.48200000000000004,-99.0,-99.0,-99.0,8.6,9.0,-9999.0,-9999.0,-9999.0
23907,20190101,900,20190101,300,2.623,-98.08,30.62,4.9,5.0,5.4,4.8,0.0,0,0,0,0,0,0,C,4.0,0,4.3,0,3.8,0,73,0,0.494,0.48,-99.0,-99.0,-99.0,8.6,9.0,-9999.0,-9999.0,-9999.0
23907,20190101,1000,20190101,400,2.623,-98.08,30.62,4.1,4.5,4.9,4.1,0.0,0,0,0,0,0,0,C,3.6,0,3.8,0,3.4,0,73,0,0.494,0.478,-99.0,-99.0,-99.0,8.5,8.9,-9999.0,-9999.0,-9999.0
23907,20190101,1100,20190101,500,2.623,-98.08,30.62,3.0,3.6,4.1,3.0,0.0,0,0,0,0,0,0,C,3.1,0,3.4,0,2.7,0,79,0,0.494,0.478,-99.0,-99.0,-99.0,8.4,8.8,-9999.0,-9999.0,-9999.0
23907,20190101,1200,20190101,600,2.623,-98.08,30.62,2.1,2.5,3.0,2.1,0.0,0,0,0,0,0,0,C,2.4,0,2.7,0,2.2,0,86,0,0.491,0.475,-99.0,-99.0,-99.0,8.2,8.8,-9999.0,-9999.0,-9999.0
23907,20190101,1300,20190101,700,2.623,-98.08,30.62,2.0,1.8,2.1,1.7,0.0,0,0,0,0,0,0,C,2.1,0,2.9,0,1.9,0,91,0,0.49,0.473,-99.0,-99.0,-99.0,8.1,8.7,-9999.0,-9999.0,-9999.0
23907,20190101,1400,20190101,800,2.623,-98.08,30.62,2.7,2.4,2.7,2.0,0.0,5,0,17,0,0,0,C,3.3,0,3.8,0,2.9,0,92,0,0.488,0.473,-99.0,-99.0,-99.0,8.0,8.5,-9999.0,-9999.0,-9999.0
23907,20190101,1500,20190101,900,2.623,-98.08,30.62,3.2,3.0,3.2,2.7,0.0,30,0,81,0,16,0,C,4.1,0,4.7,0,3.8,0,92,0,0.488,0.47200000000000003,-99.0,-99.0,-99.0,8.1,8.5,-9999.0,-9999.0,-9999.0
23907,20190101,1600,20190101,1000,2.623,-98.08,30.62,3.6,3.3,3.6,3.2,0.0,85,0,191,0,46,0,C,5.0,0,5.7,0,4.7,0,90,0,0.48700000000000004,0.469,-99.0,-99.0,-99.0,8.1,8.5,-9999.0,-9999.0,-9999.0
