id,abv,available,description,glass,ibu,isOrganic,name,originalGravity,srm
0,8.2,"Available at the same time of year, every year.","A Belgian-Abbey-Style Tripel that is big in alcohol and even bigger in fruity and citrus flavors. There is no fruit or spice added to this beer, it all comes from the special strain of yeast.",,31.0,N,LoonyToonTripel,1.07,8
1,5.7,"Available at the same time of year, every year.","Covert Hops is a crafty ale. Its stealthy dark appearance belies a light body and beguiling hop aroma from the loads of herbal, piney hops (4+ lbs per barrel to be exact) that melds exceedingly well with its deliciously devious roasty flavor.",Pint,45.0,N,Covert Hops,1.056,35
2,5.8,"Available at the same time of year, every year.","This is a traditional German-style Marzen characterized by a medium body, light copper color, low but notable hop aroma & flavor and a sweet, light-toasted/biscuity maltiness dominating slightly over a clean hop bitterness.",Mug,25.0,N,Oktoberfest,1.048,10
3,5.5,Available year round as a staple beer.,A West Coast-Style Pale Ale balancing plenty of hops with a malty backbone.,Pint,55.0,N,Pale Ale,1.044,5
4,4.8,Available year round as a staple beer.,"This Bombshell has a tantalizing crisp and clean flavor with a light floral aroma. So smooth and drinkable, it will have you begging for more. Everyone loves a blonde...ale that is",Pint,11.4,N,Head Turner Blonde Ale,1.045,3
5,6.4,Available during the spring months.,"First brewed in 2011, Black Lightning is all that it’s name implies and more. Combining the style defining characteristics of both dark beers and IPAs, this stormy balance of subtle, roasted dark malt flavor and the citrusy, floral character of Northwestern American hops, a moderately strong alcohol presence (6.5% abv) and an electrifyingly hoppy finish. Grab a bottle or a pint and hold on tight; it’s time to ride the lightning. - See more at: http://duclaw.com/beer/black-lightning/#sthash.9F5uDiVR.dpuf",Pint,65.0,N,Black Lighting,1.063,Over 40
6,4.6,Available year round as a staple beer.,,,17.0,N,Homeport Blonde,1.045,7
7,6.0,"Available at the same time of year, every year.","When the sun begins to rise earlier and stays out longer, we will celebrate the coming of spring and the sprouting of the new hop crop with Hop Pursuit. A crisp, orange blonde extra pale ale with a medium malt body that’s chased by a ton of hop flavor and zing of bitterness. We brewed it with the less aggressive, old school craft brewing hops– Cascade, Willamette, and Mt. Hood– to celebrate more of the hop flavor and less of the hop bitterness. These give the beer a nice and fresh citrus herbal character without a lot of intensity; instead it has a softly flavorful character with touches of orange and lemon.  We dry hopped for two weeks to amplify these delicate hop flavors. Gold medal winner at the 2010 World Beer Championships! Available in 22oz. bottles and draught.",Pint,55.0,N,Hop Pursuit,1.044,11
8,4.5,Available year round as a staple beer.,"Outside Mexico, Corona is often served with a wedge of citrus fruit - usually lime, occasionally lemon - inserted into the neck of the bottle. Within Mexico, especially in the south, Corona served with lime is not uncommon, but is not considered mandatory.",Pint,18.0,N,Corona Light,1.024,2
9,6.7,Limited availability.,"Our newest addition to our Harvest family is Southern Hemisphere Harvest. This is the first time we know of that an American brewer has put out a beer with fresh-picked hops from the southern hemisphere. The inaugural ale will debut in late April and will feature fresh Pacific Hallertau, New Zealand Motueka and New Zealand Southern Cross hops, all from New Zealand.

Like our Celebration Ale, the fresh hops in this beer are dried right after being picked then shipped immediately to Chico for brewing so that they retain their peak aromatics and flavors. To ensure the freshest hops possible, we went to the added expense of flying these hops from New Zealand to Chico so we could brew with them the week after they were picked.",Flute,66.0,N,Southern Hemisphere Harvest,1.044,14
