time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-05T17:51:13.660Z,19.4078331,-155.2828369,1.19,1.88,ml,19,82,0.00985,0.13,hv,hv70236012,2018-06-05T17:56:55.940Z,"5km WSW of Volcano, Hawaii",earthquake,0.21,0.28,0.25,9,automatic,hv,hv
2018-06-05T17:46:26.600Z,35.3783333,-117.8583333,0.21,0.87,ml,10,88,0.1111,0.16,ci,ci37957439,2018-06-05T17:50:16.233Z,"20km W of Johannesburg, CA",earthquake,0.38,31.61,0.107,13,automatic,ci,ci
2018-06-05T17:46:24.020Z,38.8036652,-122.7408371,12.37,0.62,md,10,224,0.04277,0.18,nc,nc73025976,2018-06-05T17:48:01.126Z,"3km SW of Cobb, CA",earthquake,3.04,6.68,,1,automatic,nc,nc
2018-06-05T17:34:35.195Z,67.5333,-144.2175,10.3,1.2,ml,,,,0.68,ak,ak19712218,2018-06-05T17:38:03.433Z,"86km SE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-05T17:20:31.020Z,19.3244991,-155.2519989,3.84,2.64,ml,15,113,0.04768,0.1,hv,hv70235962,2018-06-05T17:26:16.040Z,"11km S of Volcano, Hawaii",earthquake,0.51,1.87,0.52,3,automatic,hv,hv
2018-06-05T17:10:39.620Z,19.4099998,-155.2821655,0.7,1.99,md,15,68,0.007837,0.14,hv,hv70235937,2018-06-05T17:13:44.990Z,"5km WSW of Volcano, Hawaii",earthquake,0.22,0.23,0.14,12,automatic,hv,hv
2018-06-05T17:03:43.940Z,34.1163333,-118.4468333,6.65,1.35,ml,21,78,0.01221,0.18,ci,ci37957415,2018-06-05T17:07:27.705Z,"4km S of Sherman Oaks, CA",earthquake,0.38,0.55,0.272,28,automatic,ci,ci
2018-06-05T16:39:06.890Z,33.4221667,-116.377,10.21,1.96,ml,62,24,0.1089,0.21,ci,ci37957399,2018-06-05T16:50:25.480Z,"18km N of Borrego Springs, CA",earthquake,0.19,0.5,0.17,25,automatic,ci,ci
2018-06-05T16:38:22.450Z,35.047,-117.6555,0.29,1.86,ml,28,62,0.1172,0.18,ci,ci37957391,2018-06-05T16:42:14.838Z,"5km N of Boron, CA",quarry blast,0.43,31.61,0.143,31,automatic,ci,ci
2018-06-05T16:33:54.700Z,24.5814,95.1247,111.09,4.8,mb,,26,0.829,0.95,us,us1000ej24,2018-06-05T17:09:52.040Z,"107km E of Yairipok, India",earthquake,7,3.6,0.041,184,reviewed,us,us
2018-06-05T16:13:22.530Z,19.4101658,-155.2684937,2.04,2.33,ml,25,48,0.008354,0.27,hv,hv70235757,2018-06-05T16:19:04.570Z,"3km SW of Volcano, Hawaii",earthquake,0.43,0.33,0.33,18,automatic,hv,hv
2018-06-05T16:10:07.740Z,46.3106667,-111.6118333,-2,1.33,md,10,154,0.323,0.18,mb,mb80296204,2018-06-05T17:41:44.180Z,"7km W of Townsend, Montana",quarry blast,0.65,31.61,0.237,7,reviewed,mb,mb
2018-06-05T16:02:57.724Z,66.2505,-157.4868,0,1,ml,,,,0.54,ak,ak19711842,2018-06-05T16:06:00.700Z,"78km SSW of Kobuk, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-06-05T15:18:31.480Z,19.4251671,-155.2745056,-0.02,1.89,ml,15,131,0.002932,0.09,hv,hv70235587,2018-06-05T15:24:10.700Z,"3km W of Volcano, Hawaii",earthquake,0.32,0.13,0.27,7,automatic,hv,hv
