state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,01001,Autauga County,20484,7439,28190,13045.0,0.7266406527137282,0.2638879035118836,0.4627527492018446
Alabama,01003,Baldwin County,95798,24934,121808,70864.0,0.7864672271115197,0.20469919873899908,0.5817680283725206
Alabama,01005,Barbour County,5606,4158,9832,1448.0,0.5701790073230268,0.4229048006509357,0.14727420667209112
Alabama,01007,Bibb County,7572,1619,9241,5953.0,0.8193918407098799,0.1751974894491938,0.6441943512606861
Alabama,01009,Blount County,25354,2576,28115,22778.0,0.9017961942023831,0.09162368842255024,0.8101725057798329
Alabama,01011,Bullock County,1101,2983,4106,-1882.0,0.2681441792498782,0.7264978080857282,-0.45835362883584996
Alabama,01013,Butler County,5172,3251,8467,1921.0,0.6108420928309909,0.3839612613676627,0.22688083146332821
Alabama,01015,Calhoun County,34912,13194,48530,21718.0,0.7193900679991758,0.2718730682052339,0.44751699979394194
Alabama,01017,Chambers County,8711,5405,14221,3306.0,0.6125448280711624,0.38007172491385977,0.23247310315730263
Alabama,01019,Cherokee County,11358,1553,12984,9805.0,0.8747689463955638,0.11960874922982132,0.7551601971657425
Alabama,01021,Chilton County,16920,2698,19728,14222.0,0.8576642335766423,0.13675993511759935,0.720904298459043
Alabama,01023,Choctaw County,4103,2515,6646,1588.0,0.6173638278663858,0.3784231116461029,0.23894071622028284
Alabama,01025,Clarke County,6965,4927,11946,2038.0,0.5830403482337184,0.4124393102293655,0.17060103800435295
Alabama,01027,Clay County,5734,993,6757,4741.0,0.8486014503477874,0.14695870948645848,0.7016427408613289
Alabama,01029,Cleburne County,6988,605,7637,6383.0,0.9150189865130287,0.07921958884378683,0.8357993976692419
Alabama,01031,Coffee County,17495,4601,22270,12894.0,0.7855859901212393,0.2066008082622362,0.578985181859003
Alabama,01033,Colbert County,19714,7137,27086,12577.0,0.7278298752122868,0.26349405596987374,0.4643358192424131
Alabama,01035,Conecuh County,3423,2580,6043,843.0,0.5664405096806222,0.42694026145953995,0.13950024822108226
Alabama,01037,Coosa County,3758,1478,5264,2280.0,0.7139057750759878,0.28077507598784196,0.4331306990881459
Alabama,01039,Covington County,14677,2314,17072,12363.0,0.859711808809747,0.13554358013120898,0.724168228678538
Alabama,01041,Crenshaw County,5000,1457,6480,3543.0,0.7716049382716049,0.22484567901234567,0.5467592592592593
Alabama,01043,Cullman County,38704,4039,43052,34665.0,0.8990058533866022,0.09381677970825977,0.8051890736783425
Alabama,01045,Dale County,14476,4484,19103,9992.0,0.7577867350677904,0.23472752970737581,0.5230592053604146
Alabama,01047,Dallas County,5190,10236,15528,-5046.0,0.33423493044822256,0.6591962905718701,-0.32496136012364757
Alabama,01049,DeKalb County,25633,3758,29583,21875.0,0.8664773687590847,0.12703241726667341,0.7394449514924113
Alabama,01051,Elmore County,31374,9774,41491,21600.0,0.7561639873707551,0.23556915957677568,0.5205948277939794
Alabama,01053,Escambia County,10884,3964,14929,6920.0,0.7290508406457231,0.2655234777948958,0.4635273628508273
Alabama,01055,Etowah County,35653,10027,46023,25626.0,0.7746778784520784,0.217869326206462,0.5568085522456163
Alabama,01057,Fayette County,7158,1142,8356,6016.0,0.8566299664911441,0.136668262326472,0.7199617041646721
Alabama,01059,Franklin County,10417,1568,12077,8849.0,0.8625486461869669,0.1298335679390577,0.7327150782479093
Alabama,01061,Geneva County,10929,1391,12390,9538.0,0.8820823244552058,0.1122679580306699,0.7698143664245359
Alabama,01063,Greene County,885,3133,4035,-2248.0,0.21933085501858737,0.776456009913259,-0.5571251548946716
Alabama,01065,Hale County,3369,3868,7290,-499.0,0.46213991769547325,0.5305898491083676,-0.06844993141289435
Alabama,01067,Henry County,6989,2263,9301,4726.0,0.7514245780023653,0.24330717127190624,0.508117406730459
Alabama,01069,Houston County,32469,11352,44195,21117.0,0.7346758683108949,0.2568616359316665,0.47781423237922843
Alabama,01071,Jackson County,20073,3276,23509,16797.0,0.8538432089837934,0.13935088689438088,0.7144923220894125
Alabama,01073,Jefferson County,131123,162112,296741,-30989.0,0.44187692297323256,0.5463080598906117,-0.10443113691737915
Alabama,01075,Lamar County,6033,806,6875,5227.0,0.8775272727272727,0.11723636363636364,0.7602909090909091
Alabama,01077,Lauderdale County,32708,10326,43454,22382.0,0.752704008836931,0.23763059787361349,0.5150734109633175
Alabama,01079,Lawrence County,13024,2983,16115,10041.0,0.8081911262798634,0.18510704312752094,0.6230840831523425
Alabama,01081,Lee County,46020,25798,72695,20222.0,0.6330559185638627,0.3548799779902332,0.2781759405736295
Alabama,01083,Limestone County,37887,14581,53096,23306.0,0.7135565767666114,0.27461579026668675,0.4389407864999247
Alabama,01085,Lowndes County,1758,3867,5652,-2109.0,0.31104033970276007,0.6841825902335457,-0.3731422505307856
Alabama,01087,Macon County,1682,6084,7820,-4402.0,0.21508951406649615,0.7780051150895141,-0.562915601023018
Alabama,01089,Madison County,105430,87824,196355,17606.0,0.5369356522624837,0.44727152351608057,0.08966412874640317
Alabama,01091,Marengo County,4995,4631,9673,364.0,0.5163858161893932,0.47875529825286883,0.03763051793652433
Alabama,01093,Marion County,12245,1197,13523,11048.0,0.9054943429712342,0.08851586186497079,0.8169784811062635
Alabama,01095,Marshall County,34434,5553,40277,28881.0,0.8549296124338953,0.13787024852893712,0.7170593639049582
Alabama,01097,Mobile County,100759,72055,174545,28704.0,0.5772666074651236,0.41281617920880004,0.16445042825632356
Alabama,01099,Monroe County,6007,3740,9799,2267.0,0.6130217369119297,0.38167159914276966,0.23135013776916008
Alabama,01101,Montgomery County,30477,57946,89375,-27469.0,0.3410013986013986,0.6483468531468531,-0.30734545454545453
