subject,body,spam
mirant 4 / 01,"we invoiced mirant americas for deal 705989 and they do not see the deal in their system . it was for 5 , 000 / day from 4 / 1 - 4 / 2 at 5 . 10 on pg & e texas . can you tell me who you did this deal with at mirant ?
megan",0
re : lobo payout,"because the payback was done for october 2001 , we can ' t do it in pops so we will have to make manual entries to clear the imbalance from the books and show the sale from hpl to ena .
- - - - - original message - - - - -
from : hbcamp @ aep . com @ enron
sent : thursday , november 08 , 2001 5 : 15 pm
to : wynne , rita
cc : hall , bob m ; bcfisher @ aep . com ; rmbrownl @ aep . com ; daren . farmer @ enron . com
subject : re : lobo payout
rita ,
what time frame do intend to do this in ? i believe this contract is no longer effective after may 31 , so if it is in october you will have to reactivate the transport contract so you can book it in pops .
hc
- - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hol / aepin on 11 / 08 / 2001 05 : 12 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : "" hbcamp @ aep . com @ enron ""
cc : "" hall , bob m "" , , , , , ,
subject : re : lobo payout
i talked to daren and he ' s going to put a deal in the system for the
sale of the gas from ena to aep , so there would be no need for a manual
invoice .
> - - - - - original message - - - - -
> from : hbcamp @ aep . com @ enron
> sent : wednesday , november 07 , 2001 2 : 26 pm
> to : wynne , rita
> cc : hall , bob m ; kalastrapes @ aep . com ; ccernosek @ aep . com ;
> hbcamp @ aep . com ; bcfisher @ aep . com ; rmbrownl @ aep . com ;
> daren . farmer @ enron . com
> subject : lobo payout
>
>
> rita ,
> has the manual invoice been generated for the lobo imbalance ?
> clem and darren worked together and it was decided that since payback
> was made in october , enron needs to generate a manual invoice .
> i need a copy of the invoice faxed to me or bob at 832 - 668 - 1113 .
> hc
>
this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message . this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or evidence a binding and enforceable contract between enron corp . ( or any of its affiliates ) and the intended recipient or any other party , and may not be relied on by anyone as the basis of a contract by estoppel or otherwise . thank you .
",0
entex transaction 7,"for december 1999 , since the volumes for transaction 7 ( contract 306 ) were
actualized at 259 , 093 , which is greater than the max monthly of 248 , 000 ,
please reallocate the excess volumes to transaction 10 ( contract 301 ) at
i + . 769 .
ami",0
re : hpl transport contracts,"i would think that the first contract should go the aep . ena won ' t be selling to equistar
off of channel for at least three months . ena will have to get a transport agreement with
hpl or channel .
on the second contract : is hpl making the sale or ena ? is it a sale that is going
to aep . i know we are serving a small entex point off of oasis . is that for convenience ,
can hpl sever the point some other way ?
someone let me hear what you think .
thanks
bob
- - - - - original message - - - - -
from : wynne , rita
sent : friday , april 27 , 2001 8 : 17 am
to : hall , bob m
cc : dudley , cheryl ; graves , melissa
subject : hpl transport contracts
i spoke with daren and there are a few contracts that he was aware of :
1 . channel - 012 - 15600 - 02 - 069 ena using hpl ' s capacity - selling to equistar on channel
2 . oasis and pgev - hpl is using ena ' s capacity
3 . tejas ship and tejas gas - daren says we don ' t do business often on these pipes as ena , but we always have the possibility that we will at any time , so ena would need it ' s own transport contracts
let me know if anyone has questions . thanks !",0
welcome to aol instant messenger !,"welcome to the aol instant messenger ( sm ) service !
thank you for confirming your free aol instant messenger account . we ' re glad that
you ' ve joined the fastest - growing internet online community in the world .
start using the aim ( sm ) service today !
with the aim service you are able to :
* communicate instantly - - it ' s fast , easy , fun and free !
* create your own buddy list ( r ) feature - - see when your friends and family are online .
* meet new friends in our chat rooms or by searching our member directory .
* follow your stocks and news headlines , exchange files and images and much , much more .
check out our web site !
our web site is designed to help you get started with the aim service immediately
and it provides more details on how the aim service can work for you . go to
( aim . aol . com / redirects / aimemail / aimhome . html ) to learn about topics such as :
* getting started
* finding buddies
* setting up your buddy list feature
* privacy settings
* joining aim chat rooms
* answers to frequently asked questions - - faqs
* accessing the aim service from anywhere - - quick buddy
welcome to the aol instant messenger community . see you online !",0
carthage ( american central ) nomination,"daren ,
did things work out here . do you still need to talk with me about it .
ami
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 06 / 2000
08 : 04 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" steve holmes "" on 06 / 01 / 2000 04 : 15 : 11 pm
to :
cc :
subject : carthage ( american central ) nomination
chad called and said you guys are requestiing approximately 74 , 000 mmbtu
effective june 1 . i show the number should be 72 , 240 mmbtu / d . could you
please check into this and let me know what ' s going on ?
thanks ,
steve",0
george w ' s new limo,"thought you might be able to appreciate a limo . with style .
( see attached file : bush - limo . jpg )
- bush - limo . jpg",0
- - - - - - - - - - - - - - - - - - - - - - forwarded by tom acton / corp / enron on 04 / 24 / 2000 12 : 41,"pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor @ ect
04 / 20 / 2000 03 : 34 pm
to : tom acton / corp / enron @ enron
cc : susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , melissa
graves / hou / ect @ ect
subject :
tom ,
please see the attached file estimating wellhead production for the month of
may . please be advised that this is a preliminary estimate as to this date
we have only received a few paper noms for may . i will update you with any
revisions as they occur .
thanks ,
vlt
x 3 - 6353",0
neon discussion october 4,"here is this upcoming week ' s discussion material ! ?
?
bobby
- neon measuring success lesson 3 . doc",0
july noms,"daren ,
please see the volume and action needed columns below : 50 , 158 mm has not
been entered in sitara or path manager because deal tickets are needed .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 06 / 27 / 2000 09 : 01
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : robert cotten 06 / 26 / 2000 09 : 02 am
to : o ' neal d winfree / hou / ect @ ect , vance l taylor / hou / ect @ ect
cc :
subject : july noms
o ' neal / vance ,
the following deals appear to have expired 6 / 30 / 00 :
counterparty sitara deal no . volume action needed
camoil 138822 161 pathed 6 / 27
cody texas 305549 2 , 800 deal ticket
eex corp . 278748 14 , 213 "" ""
eex corp . 278770 1 , 710 pathed 6 / 27
engage energy 278784 70 deal ticket
278806 117 "" ""
278821 657 "" ""
278834 1 , 096 "" ""
goldston 225006 30 , 055 "" ""
hydrocarbon lease 281540 1 , 000 "" ""
petromac 138536 45 pathed 6 / 26
setex 132845 76 deal ticket
138601 53 "" ""
swift energy 279778 21 "" ""
texlan 138848 166 pathed 6 / 27
i will need either new deal ticket ( s ) or roll the current ones in sitara .
please advise . thanks .
bob",0
2 / 07 / 01 gas flow,"hpl gas control shows that terry with tufco gas control requested an increase
from 0 . 0 ( zero ) to 60 . 0 effective 1 : 00 pm and don with tufco gas control
requested a cut from 60 . 0 to 0 . 0 ( zero ) effective 1 : 00 am . the nom should be
30 . 0 according to hpl gas control records .
if you have any questions please call 713 . 853 . 6449
gary
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 02 / 08 / 2001 10 : 46
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" melissa jones "" on 02 / 08 / 2001 10 : 39 : 05 am
to : "" charlie stone "" , "" gary green "" ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com , "" david avila ""
, liz . bellamy @ enron . com , "" ronnie skerik "" ,
kponton @ duke - energy . com
cc :
subject : 2 / 07 / 01 gas flow
we show the nom for teco tap to be 30 . 000 and the actual for teco tap is
21 . 814
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 08 / 2001
10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
kponton @ duke - energy . com on 02 / 08 / 2001 09 : 06 : 50 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu
cc :
subject : 2 / 07 / 01 gas flow
nom = 17 , 500 ( 6 : 00 pm started 60 , 000 rate & shut off at 1 : 00 am )
actual flow = 21 , 076 mcf 21 , 814 mmbtu ' s",0
re : tenaska iv 10 / 00,"we have received all of the money from the spot sales for tenaska iv in
october 2000 , except for the tenaska iv sale and the $ 0 . 04 fee .
megan",0
confirming requisitions,"confirming the open requistions for your group . if your records indicate
otherwise , please let me know .
lisa csikos 104355 , 104001
rita wynne 104354
daren farmer 104210
mike eiben 104323
pat clynes 104285
mary smith 104301
steve venturatos 59127 , 104353
the posting dates have all been updated to reflect a current posting date .
thanks for your support ! !
toni",0
"enron / hpl actuals for august 3 , 2000","teco tap 20 . 000 / enron ; 91 . 667 / hpl iferc
ls hpl lsk ic 20 . 000 / enron",0
txu deal # 108672,"could you add meter pge - ls 491 - 754 to txu fuel deal # 108672 for may 12 , 2000
in sitara ? txu received 2 , 000 mmbtu on that day as part of the gas daily
contract , however , the volume is pathed under the wagner brown contract due
to the meter .
please let me know if you have any questions .
thanks ,
rebecca",0
"wed unify mtg 2 : 00 - 2 allen center , 12 th floor conf room","attached is the presentation that jeff reviewed last week in the meeting .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 06 / 27 / 2000
08 : 39 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
jeff johnson @ enron
06 / 19 / 2000 05 : 34 pm
to : beth perlman / hou / ect @ ect , bryce baxter / hou / ect @ ect , brent a
price / hou / ect @ ect , leslie reeves / hou / ect @ ect , laura e scott / cal / ect @ ect ,
sheila glover / hou / ect @ ect , jefferson d sorenson / hou / ect @ ect , robert
superty / hou / ect @ ect , brenda f herod / hou / ect @ ect , kenneth m
harmon / hou / ect @ ect , dave nommensen / hou / ect @ ect , regan m smith / hou / ect @ ect ,
laray . odum @ luminant . com , nadeem . abbasi @ luminant . com , scott
williamson / hou / ect @ ect , paul f poellinger / hou / ect @ ect , john
simmons / na / enron @ enron , chris hanz / corp / enron @ enron , sally beck / hou / ect @ ect ,
rebecca ford / hou / ect @ ect
cc : angelina v lorio / hou / ect @ ect , john paskin / lon / ect @ ect
subject : wed unify mtg 2 : 00 - 2 allen center , 12 th floor conf room
please note that the wed meeting will be held as planned from 2 : 00 - 4 : 00 pm in
the 2 allen center in the 12 th floor forum conference room .
the room entrance is just off the elevator bank foyer .
here is the draft of the presentation that we will discuss on wednesday . we
are interested in your input and feedback in the meeting on wednesday .
thanks .
- - - - - - - - - - - - - - - - - - - - - - forwarded by jeff johnson / corp / enron on 06 / 19 / 2000
05 : 20 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
alarm enabled : an alarm will occur on 06 / 21 / 2000 01 : 55 pm
calendar entry
brief description :
date :
time :
unify system - - problems and proposed immediate projects . two allen center ,
12 th floor forum
06 / 21 / 2000
02 : 00 pm - 04 : 00 pm
detailed description :
the meeting will be held in two allen center on the 12 th floor in the large
conference room ( called the forum ) . the room entrance is just off the
elevator bank in the foyer .
we believe that we have an approach to immediately begin to address key
performance issues in the unify system .
to be successful with the proposed projects , we need your input , sponsorship
and participation . angie lorio will find a location and will publish as soon
as possible .
the proposed agenda is as follows :
i . unify - - current state , strengths , issues
ii . conceptual overview of proposed solutions
organization building
performance monitoring team
sybase 12 upgrade
sql server testing
middle tier rearchitecture project
scoping for a re - write effort
iii . solutions proposals / plans for immediate review / kickoff
proposed scope
assumptions
high timelines / cost estimates
staffing
iv . facilitated discussion on unify
future growth / changes required for unify
new project prioritization
invitations have been sent to : beth perlman / hou / ect @ ect , bryce
baxter / hou / ect @ ect , brent a price / hou / ect @ ect , leslie reeves / hou / ect @ ect ,
laura e scott / cal / ect @ ect , sheila glover / hou / ect @ ect , jefferson d
sorenson / hou / ect @ ect , robert superty / hou / ect @ ect , brenda f herod / hou / ect @ ect ,
kenneth m harmon / hou / ect @ ect , dave nommensen / hou / ect @ ect , regan m
smith / hou / ect @ ect , laray . odum @ luminant . com , nadeem . abbasi @ luminant . com , scott
williamson / hou / ect @ ect , paul f poellinger / hou / ect @ ect
optional invitees : chris hanz / corp / enron @ enron , john simmons / na / enron @ enron ,
angie lorio
this meeting repeats starting on ( if the date occurs on a weekend the
meeting ) .",0
let ' s talk about your home loan .,"dear jerry ,
thank you for requesting more information from quicken loans through our
website . we are excited to have this chance to demonstrate our world - class
customer service to you .
i made an initial attempt to contact you to gather the additional information
required to process your application but have not been able to get through .
please reply to this message with the best time to call and the phone number
you would like me to use .
if it is more convenient , you can also call me direct at 800 . 226 . 6308 ext .
57531 . our phone lines are open monday - thursday , 8 : 00 am - 9 : 00 pm , friday ,
8 : 00 am - 7 : 00 pm and saturday , 10 : 00 am - 4 : 00 pm ( all times eastern ) . if i
am not available , one of the other loan consultants on my team will be happy
to assist you .
interest rates change daily . for the latest rates on our many programs you
can call anytime . i look forward to working with you to complete your
application .
sincerely ,
daniel jenuwine
mortgage banker
phone : 800 . 226 . 6308 ext . 57531
email : daniel _ jenuwine @ quickenloans . com",0
neon discussion february 14,"hey guys and girls ! ? i ' ve attached an outline that brad used at saturn
road . ? ? you might want to use . . . it kind of dovetails with the evangelism
focus that shon ' s incorporating into his sermons and the connection group
topics . ? and since it ' s valentine ' s day this wednesday , you might want to
use wednesday night for something light to shake things up . ? as always , it ' s
your call !
?
bobby
- naaman . doc",0
"enron / hpl actuals for december 11 , 2000","teco tap 30 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 30 . 000 / enron",0
re : 1 / 2000 meter 9643 three rivers issues,"fred , this info was forwarded to you a while ago . i sent it return receipt .
i never saw where you opened your e - mail . i know you ' re been busy .
thanks , stella
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 03 / 03 / 2000
03 : 03 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : stella l morris 02 / 25 / 2000 08 : 35 am
to : fred boas / hou / ect @ ect
cc : howard b camp / hou / ect @ ect , robert e lloyd / hou / ect @ ect , daren j
farmer / hou / ect @ ect
subject : re : 1 / 2000 meter 9643 three rivers issues
fred , i hope this is the information that you needed to complete january
business . i have already set up track i . d . 80705 per your first request .
thanks , stella
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 25 / 2000
08 : 31 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
02 / 24 / 2000 06 : 58 pm
to : stella l morris / hou / ect @ ect
cc :
subject : re : 1 / 2000 meter 9643 three rivers issues
the purchase from swift was shown at mtr 3405 during dec and jan . i have
created a new deal ( # 204777 ) to add mtr 9643 to the deal .
deal 114096 is the purchase from hplr liquids . this purchase is on 138544
for jan 2000 forward .
d
from : stella l morris 02 / 24 / 2000 02 : 39 pm
to : daren j farmer / hou / ect @ ect
cc : fred boas / hou / ect @ ect , howard b camp / hou / ect @ ect , robert e
lloyd / hou / ect @ ect
subject : 1 / 2000 meter 9643 three rivers issues
fred is trying to set up accounting arrangments to cover the swift deal . can
you please verify that you made this purchase from swift ? if so , is there
another deal to replace deal # 114096 of should this deal be extended into
january . if i should forward this to someone else , please let me know .
thanks for you help , stella
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 02 / 24 / 2000
02 : 33 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
fred boas
02 / 24 / 2000 11 : 25 am
to : stella l morris / hou / ect @ ect
cc : robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect
subject : 1 / 2000 meter 9643 three rivers issues
stella :
the swift deal is not pathed correctly in pops . i set up an accounting
arrangement on the 012 - 41500 - 02 - 015 contract with the track id 80705 . would
you put the contract in pops with the associated track id ?
the transportation contract ( 012 - 41500 - 02 - 003 ) for the liquids replacement
gas is not pops . i looked in path manager and there is no deal for it
either . in december , the deal for this gas was 114096 . could you extend the
deal or get me the number for the new deal if there is one ? i need to set up
an accounting arrangement so i will need for you to verify the deal number
and transportation contract that this gas is supposed to go on . when i set
up the accounting arrangement i will let you know what the track id is so you
can put the contract at meter 9643 .
let me know when all of this is done so that i can reallocate the meter .
thanks ,
fred",0
"producer shut - in list for victoria 18 "" line work","think he forgot you on this list ! !
- - - - - - - - - - - - - - - - - - - - - - forwarded by lauri a allen / hou / ect on 12 / 29 / 99 03 : 05
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : gary a hanks 12 / 29 / 99 02 : 49 pm
to : connie sutton / hou / ect @ ect , lauri a allen / hou / ect @ ect , pat
clynes / corp / enron @ enron , melissa graves / hou / ect @ ect , mary
solmonson / hou / ect @ ect , james mckay / hou / ect @ ect
cc : earl tisdale / hou / ect @ ect , gary besancon / gco / enron @ enron , rodney
rogers / gco / enron @ enron , shawna flynn / hou / ect @ ect
subject : producer shut - in list for victoria 18 "" line work
hpl will be completing tie - ins to replace the guadalupe river crossing on the
swinney to victoria 18 "" . the following meters will be shut in at
approximately 8 : 00 am on january 4 , 2000 and be brought back on - line sometime
during the evening of january 6 , 2000 :
986833 marks # 1 common point
989730 swickheimer
984056 cologne
985754 battle fld
985982 coletto creek
986063 mokeen
986140 swickheimer
989620 duty # 1
984046 apache
985547 freeman
989664 talber graham
986757 sheridan energy
985972 hughes & hughes
986668 pentex
985541 esperanza
984724 new horizons
984959 dynamic
985360 bnp petroleum
984143 hilcorp
984286 spindletop
985430 southern gas
989679 strand energy
989663 edge petroleum
985801 vintage
989629 petro corporation
986722 duke three rivers gas plant
989736 c & e berclair
989813 c & d lucas
986725 southern resources
986015 mider
985192 delhi sarco
if you have any question please feel free to call me at 36449 .
thanks
gary",0
"eastrans nomination effective january 1 , 2001","effective 1 / 1 / 01 , the deliveries and redeliveries will be 0 mmbtu / dy .
the transaction agreement will not be utilized and detm will be selling
fuels cotton valley gas to hpl .",0
king ranch processed volumes at tailgate,"d .
mary provided this to brian , please check against your numbers asap
- - - - - - - - - - - - - - - - - - - - - - forwarded by edward d gottlob / hou / ect on 11 / 28 / 2000
07 : 56 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
brian m riley
11 / 27 / 2000 11 : 07 am
to : edward d gottlob / hou / ect @ ect
cc :
subject : king ranch processed volumes at tailgate
please compare with darren ' s # ' s .
thanks br
- - - - - - - - - - - - - - - - - - - - - - forwarded by brian m riley / hou / ect on 11 / 27 / 2000 11 : 09
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mary poorman @ enron
10 / 27 / 2000 10 : 17 am
to : brian m riley / hou / ect @ ect
cc :
subject : king ranch processed volumes at tailgate
this is a snapshot of my worksheet for october , i haven ' t received all of the
volumes for november , but , i don ' t expect any radical changes in production
at this time .
please let me know if i can be of any further assistance .
mary",0
mobil beaumont - may 2001,"daren ,
i want to confirm the may midcon volumes for mobil - i think it is 30 , 000 mmbtu / day ?
please let me know if i should ask someone else . . .
thanks ,
rebecca",0
3 / 1 / 2000 noms,"effective 3 / 1 / 2000 , please increase our nom to 60 , 000 mmbtu
per day into eastrans . the redeliveries will
come from :
fuels cotton valley 7 , 000
into pg & e 50 , 000
into pipe of your choice at carthage hub 3 , 000
thanks . i realize that the contract requires earlier notice
for the lst . if there is a problem , let me know and we can
do the 3 , 000 on the 2 nd . in any case , we want to max out
pg & e at 50 , 000 , and 7 , 000 from fcv .",0
memo and presentation from brian redmond,please see the attached :,0
re : another hesco issue,"daren would you look at the price for 29 and 30 th of march 2000 . there are
no prices for these days but volume was scheduled for these days .
thanks
charlene
daren j farmer
11 / 02 / 2000 02 : 59 pm
to : charlene richmond / hou / ect @ ect
cc :
subject : re : another hesco issue
charlene ,
deal # 214948 already had volume and price for the 12 th and 13 th . you may
need to have the volumes updated by volume management .
i added the 15 th and 16 th to the deal ticket .
d
charlene richmond
11 / 01 / 2000 04 : 02 pm
to : daren j farmer / hou / ect @ ect , jennifer martinez / hou / ect @ ect
cc : kristen j hanson / hou / ect @ ect , nick moshou / corp / enron @ enron , cynthia
hakemack / hou / ect @ ect
subject : re : another hesco issue
help . steve mauch at hesco is wanting an answer asap
- - - - - - - - - - - - - - - - - - - - - - forwarded by charlene richmond / hou / ect on 11 / 01 / 2000
03 : 29 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
11 / 01 / 2000 02 : 45 pm
to : charlene richmond / hou / ect @ ect
cc : julie meyers / hou / ect @ ect
subject : re : another hesco issue
charlene ,
this gas purchase is not a part of the wellhead portfolio but is being traded
on the texas desk . i would suggest you get with darren farmer or someone on
the desk .
sorry i could not be of more assistance !
vlt
x 3 - 6353
charlene richmond
11 / 01 / 2000 08 : 22 am
to : julie meyers / hou / ect @ ect , vance l taylor / hou / ect @ ect
cc :
subject : another hesco issue
meter 986725 for march 2000 . per hesco both traders are gone at ( hesco and
enron ) and they ( hesco ) were not paid the correct price in march on the
days mentioned below . hesco cannot find where the price for these days were
recorded . per hesco they were underpaid by $ 32 , 101 . 57 . hesco is wanting to
come to our office to have a meeting about clearing this up . it will be nice
if we don ' t have to meet with them .
production dates are volume price they are
looking for
03 / 12
2 , 029 2 . 65
03 / 13
2 , 009 2 . 65
03 / 15
2 , 022 2 . 71
03 / 16
1 , 976 2 . 72",0
re : tglo status,"cost centers 11814 and 27117 are rolling to texas gas trading .
- - - - - original message - - - - -
from : coffey jr . , jim
sent : tuesday , october 30 , 2001 10 : 05 am
to : parker , megan ; boyt , eric ; farmer , daren j .
cc : bryan , gary ; pond , jim ; helton , susan ; east , laynie ; roberts , linda
subject : re : tglo status
megan
as i mentioned to you yesterday , it still looks like the volumes for gas delivered to tx glo do not have linda robert ' s origination fee deducted . do we need to execute a pma with txglo to deduct those volumes from the next delievery ?
also isn ' t there an entry that is missing in your file to capture the $ cost of gas for the gas delivered to txglo ? is that being captured in unify or is it being manually entered by gas accounting ?
darren
do we need to execute a seperate deal ticket for the origination deduct ?
susan / laynie
what busines unit are these cost centers rolling up to ( 11814 coffey jr . , jim
subject : tglo status
eric :
i reviewed the gas deals on franks ' spreadsheet and they agree with what is in sitara . as soon as i have the october gas numbers , i will forward them to you .
attached is a spreadsheet of the tglo deals booked to the gl to help you with our current settlement position . it is divided by debit / credit entries . when the sales are booked , a debit hits the customer account to create the open sale to apply the cash to and a credit hits the revenue account ( 40004000 third party ; 40005000 intercompany ) for the profit center .
below is a summary of where we are on the sale dollars to egm . i have already sent an email to risk to update the demand fees for the prior months and to book aug and sept crude . i will wait for the go ahead from frank before i final them to the gl . let me know if you have any questions .
megan
status of sales to egm
cleared invoices $ 3 , 905 , 963 . 20
open invoices $ 1 , 177 , 587 . 60
to be booked $ 3 , 093 , 424 . 22
$ 8 , 176 , 975 . 55
>",0
invitation to dinner,"music can be started by clicking on the sound icon .
to stop music , right click and end show : ) heather",0
keystone shut down,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 09 / 2000
08 : 59 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jan svajian "" on 06 / 09 / 2000 09 : 01 : 43 am
to :
cc :
subject : keystone shut down
nom change for 13 th , 14 th , and 15 th plus shut down letter from sid
richardson . four attachments below .
- kermit shut down 13 th . xls
- kermit change 14 th . xls
- kermit change 15 th . xls
- keyshutdown . doc",0
hpl meter southern union - lockhart,"daren :
on 5 / 31 / 2000 the above meter has recorded flow of 16 mmbtus from hpl ' s
pipeline . deal # 254839 was at the meter prior , but it expired on 5 / 21 / 00 .
currently , the volume is booked to hpl strangers gas contract . logistics
needs either ( 1 ) have deal # 254839 extended , ( 2 ) new deal , or ( 3 ) approval to
writeoff these volumes to unaccounted for gas . ( please print , sign , and
return original to clem cernosek ) .
deal / deal ticket # / customer ( seller / buyer )
or
approval to writeoff the volumes to unaccounted for gas loss
thanks , clem",0
txu lone star,"i am working on clearing an old txu lone star / gas distribution balance from
8 / 99 and 9 / 99 . we originally billed txu on nominated quantities and they
have shortpaid us due to meter adjustments . these are brokered deals where
we sold to txu and purchased from exxonmobil and highland . txu has provided
meter support since the deals were on lone star pipeline , however , i am
unsure how to have volume management reallocate .
for example , we originally sold 10 , 000 mmbtu on 8 / 3 / 99 to txu and purchased
1 , 200 mmbtu from highland energy and 8 , 800 mmbtu from exxonmobil . txu shows
the total amount of gas on 8 / 3 / 99 was 9 , 240 mmbtu . how should the purchase
piece be allocated between exxonmobil and highland since this was a brokered
deal ?
august 1999 :
sale
txu electric & gas deals # 104975 , 104256 , 104738
lone star gas co . deal # 101985
purchase
exxonmobil corp . deal # 101522
highland energy co . deal # 101530
september 1999 :
sale
txu electric & gas deal # 109046
purchase
exxonmobil corp . deals # 101522 , 108564
highland energy co . deals # 101530 , 108146
please let me know if i need to speak with someone else about this . thanks
for your help .
thanks ,
rebecca",0
