Paper,Author
1,Hamilton
2,Jay
3,Jay
4,Jay
5,Jay
6,Hamilton
7,Hamilton
8,Hamilton
9,Hamilton
10,Madison
11,Hamilton
12,Hamilton
13,Hamilton
14,Madison
15,Hamilton
16,Hamilton
17,Hamilton
18,
19,
20,
21,Hamilton
22,Hamilton
23,Hamilton
24,Hamilton
25,Hamilton
26,Hamilton
27,Hamilton
28,Hamilton
29,Hamilton
30,Hamilton
31,Hamilton
32,Hamilton
33,Hamilton
34,Hamilton
35,Hamilton
36,Hamilton
37,Madison
38,Madison
39,Madison
40,Madison
41,Madison
42,Madison
43,Madison
44,Madison
45,Madison
46,Madison
47,Madison
48,Madison
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,Hamilton
60,Hamilton
61,Hamilton
62,
63,
64,Jay
65,Hamilton
66,Hamilton
67,Hamilton
68,Hamilton
69,Hamilton
70,Hamilton
71,Hamilton
72,Hamilton
73,Hamilton
74,Hamilton
75,Hamilton
76,Hamilton
77,Hamilton
78,Hamilton
79,Hamilton
80,Hamilton
81,Hamilton
82,Hamilton
83,Hamilton
84,Hamilton
85,Hamilton
