date,ppm,#days
1974-05-19,333.34,6
1974-05-26,332.95,6
1974-06-02,332.32,5
1974-06-09,332.18,7
1974-06-16,332.37,7
1974-06-23,331.59,6
1974-06-30,331.68,6
1974-07-07,331.44,6
1974-07-14,330.85,5
1974-07-21,330.76,7
1974-07-28,329.8,4
1974-08-04,329.85,5
1974-08-11,329.05,6
1974-08-18,329.06,6
1974-08-25,328.33,7
1974-09-01,328.05,5
1974-09-08,327.57,4
1974-09-15,326.73,6
1974-09-22,326.96,7
1974-09-29,327.31,5
1974-10-06,327.07,6
1974-10-13,327.23,5
1974-10-20,327.4,5
1974-10-27,327.64,7
1974-11-03,327.8,7
1974-11-10,328.5,6
1974-11-17,328.56,7
1974-11-24,328.46,5
1974-12-01,328.76,4
1974-12-08,329.39,7
1974-12-15,329.77,7
1974-12-22,329.96,7
1974-12-29,330.38,7
1975-01-05,330.43,5
1975-01-12,330.59,7
1975-01-19,330.8,7
1975-01-26,331.22,7
1975-02-02,331.64,6
1975-02-09,331.12,7
1975-02-16,331.41,6
1975-02-23,331.96,7
1975-03-02,331.73,3
1975-03-09,331.61,5
1975-03-16,332.11,5
1975-03-23,331.86,4
1975-03-30,333.3,5
1975-04-06,332.79,5
1975-04-13,333.31,4
1975-04-20,333.39,7
1975-04-27,333.49,7
1975-05-04,333.94,7
1975-05-11,334.25,6
1975-05-18,333.45,5
1975-05-25,334.0,7
1975-06-01,333.96,7
1975-06-08,333.32,5
1975-06-15,333.22,7
1975-06-22,333.47,6
1975-06-29,333.01,6
1975-07-06,332.32,6
1975-07-13,331.83,5
1975-07-20,331.36,4
1975-07-27,331.21,5
1975-08-03,331.01,6
1975-08-10,330.38,5
1975-08-17,329.48,6
1975-08-24,328.73,5
1975-08-31,329.24,6
1975-09-07,329.42,3
1975-09-14,327.95,7
1975-09-21,327.96,5
1975-09-28,327.97,5
1975-10-05,-999.99,0
1975-10-12,328.35,1
1975-10-19,328.63,5
1975-10-26,328.8,5
1975-11-02,329.03,6
1975-11-09,329.01,6
1975-11-16,329.25,3
1975-11-23,330.18,2
1975-11-30,329.72,1
1975-12-07,-999.99,0
1975-12-14,-999.99,0
1975-12-21,-999.99,0
1975-12-28,-999.99,0
1976-01-04,331.33,3
1976-01-11,331.62,6
1976-01-18,331.66,6
1976-01-25,331.87,5
1976-02-01,332.45,5
1976-02-08,332.51,5
1976-02-15,332.64,6
1976-02-22,333.49,5
1976-02-29,332.43,3
1976-03-07,332.99,6
1976-03-14,333.56,6
1976-03-21,334.15,3
1976-03-28,334.67,6
1976-04-04,335.06,4
1976-04-11,333.65,2
1976-04-18,334.5,5
1976-04-25,334.93,6
1976-05-02,334.17,4
1976-05-09,334.33,6
1976-05-16,335.29,4
1976-05-23,335.38,5
1976-05-30,334.43,6
1976-06-06,334.25,6
1976-06-13,334.18,5
1976-06-20,334.02,2
1976-06-27,-999.99,0
