Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Details / Notes
1.0,1.0,Ava the Elephant,Yes,Healthcare,Female,"$50,000",55%,1.0,,,,,,,,
1.0,1.0,Mr. Tod's Pie Factory,Yes,Food and Beverage,Male,"$460,000",50%,1.0,,,,1.0,,,,
1.0,1.0,Wispots,No,Business Services,Male,,,,,,,,,,,
1.0,1.0,College Foxes Packing Boxes,No,Lifestyle / Home,Male,,,,,,,,,,,
1.0,1.0,Ionic Ear,No,Uncertain / Other,Male,,,,,,,,,,,
1.0,2.0,A Perfect Pear,Yes,Food and Beverage,Female,"$500,000",50%,,,,1.0,,1.0,,,
1.0,2.0,Classroom Jams,Yes,Children / Education,Male,"$250,000",10%,1.0,1.0,,1.0,1.0,1.0,,,
1.0,2.0,Lifebelt,No,Consumer Products,Male,,,,,,,,,,,
1.0,2.0,Crooked Jaw,No,Fashion / Beauty,Male,,,,,,,,,,,
1.0,2.0,Sticky Note Holder,No,Lifestyle / Home,Female,,,,,,,,,,,
1.0,3.0,Turbobaster,Yes,Food and Beverage,Female,"$35,000",100%,,,,,,,1.0,,2% royalty
1.0,3.0,Stress Free Kids,Yes,Children / Education,Female,"$250,000",50%,1.0,,,,,,,,
1.0,3.0,Kwyzta Chopstick Art,No,Children / Education,Male,,,,,,,,,,,
1.0,3.0,50 State Capitals in 50 Minutes,No,Children / Education,Male,,,,,,,,,,,
1.0,3.0,Voyage Air Guitar,No,Media / Entertainment,Male,,,,,,,,,,,
1.0,4.0,Gift Card Rescue,Yes,Software / Tech,Male,"$200,000",50%,,,,1.0,,1.0,,,
1.0,4.0,Coverplay,Yes,Children / Education,Female,"$35,000",40%,1.0,,,,,,,,
1.0,4.0,Graffiti Removal Services,No,Business Services,Male,,,,,,,,,,,
1.0,4.0,"Souls Calling, Inc.",No,Fashion / Beauty,Female,,,,,,,,,,,
1.0,4.0,Coffee Brand Gifts,No,Food and Beverage,Male,,,,,,,,,,,
1.0,5.0,My Therapy Journal,Yes,Healthcare,Male,"$80,000",51%,,,,1.0,,1.0,,,
1.0,5.0,Body Jac,Yes,Fitness / Sports,Male,"$180,000",50%,1.0,,,,,,1.0,,contingent on him losing 30 pounds!
1.0,5.0,Good Grief Celebrations,No,Business Services,Female,,,,,,,,,,,
1.0,5.0,Granola Gourmet,No,Food and Beverage,Male,,,,,,,,,,,
1.0,5.0,Face Blok,No,Healthcare,Female,,,,,,,,,,,
1.0,6.0,Pork Barrel BBQ Sauce,Yes,Food and Beverage,Male,"$50,000",50%,1.0,,,,,,,,
1.0,6.0,Element Bars,Yes,Fitness / Sports,Male,"$150,000",30%,,,,,,,1.0,,"license bars, entrepreneur gets 4% of sales forever"
1.0,6.0,Underease Underwear,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
1.0,6.0,Kalyx Technologies,No,Fashion / Beauty,Female,,,,,,,,,,,
1.0,6.0,The Fizz,No,Food and Beverage,Male,,,,,,,,,,,
1.0,7.0,Soy-Yer-Dough,Yes,Food and Beverage,Male,"$300,000",51%,,,,1.0,1.0,1.0,,,
1.0,7.0,Grill Charms Set,Yes,Fashion / Beauty,Female,"$50,000",20%,,,,1.0,,,,,
1.0,7.0,Boogie Box Fitness,No,Fitness / Sports,Female,,,,,,,,,,,
1.0,7.0,The Fun house Project,No,Media / Entertainment,Male,,,,,,,,,,,
1.0,8.0,Treasure Chest Pets,Yes,Pet Products,Female,"$100,000",60%,1.0,,,,1.0,,,,
1.0,8.0,Notehall,Yes,Software / Tech,Male,"$90,000",25%,1.0,,,,,,,,deal did not go through after show; acquired by Chegg for 3.7M in equity
1.0,8.0,Throx,No,Fashion / Beauty,Male,,,,,,,,,,,
1.0,8.0,Washed Up Hollywood,No,Fashion / Beauty,Male,,,,,,,,,,,
1.0,9.0,Gayla Bentley Fashion,Yes,Fashion / Beauty,Female,"$250,000",50%,1.0,,,,1.0,,,,
1.0,9.0,Chill Soda,Yes,Food and Beverage,Male,"$50,000",20%,1.0,,,,,,,,
1.0,9.0,Cornucopia Express,No,Pet Products,Male,,,,,,,,,,,
1.0,9.0,Virtusphere,No,Software / Tech,Male,,,,,,,,,,,
1.0,10.0,The URO Club,Yes,Uncertain / Other,Male,"$25,000",70%,,,,,,,,1.0,
1.0,10.0,Jump Forward,Yes,Uncertain / Other,Male,"$600,000",50%,,,,1.0,,1.0,,,
1.0,10.0,The Bobble Place,No,Children / Education,Male,,,,,,,,,,,
1.0,10.0,Mr. Poncho,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
1.0,11.0,Hells Bells Helmets,Yes,Consumer Products,Mixed Team,"$500,000",50%,,,,,1.0,,,,
1.0,11.0,Chef In Black,Yes,Food and Beverage,Female,"$50,000",40%,1.0,,,,,,,,
1.0,11.0,Ink Flip,No,Business Services,Male,,,,,,,,,,,
1.0,11.0,Romp NΓÇÖ Roll,No,Children / Education,Mixed Team,,,,,,,,,,,
1.0,11.0,The Twister,No,Fitness / Sports,Male,,,,,,,,,,,
