date,Name,open,close,volume
2018-02-01,AAL,$54.00,$53.88,3623078
2018-02-01,AAPL,$167.16,$167.78,47230787
2018-02-01,AAP,$116.24,$117.29,760629
2018-02-01,ABBV,$112.24,$116.34,9943452
2018-02-01,ABC,$97.74,$99.29,2786798
2018-02-01,ABT,$61.75,$62.18,8101584
2018-02-01,ACN,$160.16,$160.46,1692576
2018-02-01,ADBE,$199.12,$199.38,2366120
2018-02-01,ADI,$91.25,$91.65,2312175
2018-02-01,ADM,$42.77,$42.46,2921389
2018-02-01,ADP,$122.59,$120.42,2555727
2018-02-01,ADSK,$114.72,$115.57,1596444
2018-02-01,ADS,$256.26,$257.11,281384
2018-02-01,AEE,$56.62,$55.21,3167081
2018-02-01,AEP,$68.74,$67.84,2968573
2018-02-01,AES,$11.59,$11.51,6781029
2018-02-01,AET,$186.52,$187.39,2596718
2018-02-01,AFL,$88.58,$89.69,3710290
2018-02-01,AGN,$179.98,$178.54,2106462
2018-02-01,AIG,$63.74,$64.17,4120710
2018-02-01,AIV,$41.91,$40.80,1483949
2018-02-01,AIZ,$91.40,$93.06,319634
2018-02-01,AJG,$68.30,$69.19,1106069
2018-02-01,AKAM,$66.42,$67.56,1440142
2018-02-01,ALB,$110.92,$109.20,1962034
2018-02-01,ALGN,$261.59,$255.57,1735592
2018-02-01,ALK,$65.54,$64.08,2492777
2018-02-01,ALLE,$85.84,$85.17,528543
2018-02-01,ALL,$98.57,$98.72,2422471
2018-02-01,ALXN,$118.45,$118.09,2706959
2018-02-01,AMAT,$53.16,$53.28,9706003
2018-02-01,AMD,$13.62,$13.25,67543333
2018-02-01,AME,$77.31,$77.91,1625763
2018-02-01,AMGN,$185.00,$185.56,4078062
2018-02-01,AMG,$198.39,$201.76,474274
2018-02-01,AMP,$168.61,$171.08,1172450
2018-02-01,AMT,$148.02,$147.06,2351036
2018-02-01,AMZN,"$1,445.00","$1,390.00",9113808
2018-02-01,ANDV,$108.10,$106.81,2117279
2018-02-01,ANSS,$160.97,$163.40,641201
2018-02-01,ANTM,$247.42,$243.93,2001670
2018-02-01,AON,$142.00,$144.48,1374383
2018-02-01,AOS,$66.99,$66.79,1481479
